Song, Artist, Spotify Rank, Billboard Rank, iTunes Rank, Average Rank
7 years, lukas graham, 5, 2, 2, 3.0
i took a pill in ibiza, mike posner, 3, 8, 7, 6.0
work, rihanna, 2, 1, 16, 6.33333333333
work from home, fifth harmony, 4, 9, 6, 6.33333333333
faded, alan walker, 7, 0, 0, 7.0
one dance, drake, 1, 21, 1, 7.66666666667
no, meghan trainor, 21, 3, 3, 9.0
fast car, jonas blue, 12, 0, 0, 12.0
my house, flo rida, 20, 7, 11, 12.6666666667
dangerous woman, ariana grande, 16, 13, 9, 12.6666666667
love yourself, justin bieber, 15, 6, 21, 14.0
light it up (feat. nyla & fuse odg), major lazer, 14, 0, 0, 14.0
don't let me down, the chainsmokers, 13, 22, 8, 14.3333333333
listen, shalyah fearing, 0, 0, 15, 15.0
stressed out, twenty one pilots, 10, 11, 24, 15.0
cake by the ocean, dnce, 17, 12, 18, 15.6666666667
never forget you, zara larsson, 24, 15, 10, 16.3333333333
me myself & i, g, 11, 10, 29, 16.6666666667
pop style, drake, 36, 16, 4, 18.6666666667
messin' around, pitbull, 0, 0, 19, 19.0
cry baby, alisan porter, 0, 0, 20, 20.0
lush life, zara larsson, 23, 0, 0, 23.0
humble and kind, tim mcgraw, 0, 30, 17, 23.5
hymn for the weekend, coldplay, 25, 0, 0, 25.0
sex, cheat codes, 26, 0, 0, 26.0
hero, owen danoff, 0, 0, 26, 26.0
middle, dj snake, 22, 24, 32, 26.0
stitches, shawn mendes, 28, 27, 0, 27.5
sorry, justin bieber, 19, 14, 56, 29.6666666667
famous, kanye west, 27, 34, 0, 30.5
close, nick jonas, 34, 33, 25, 30.6666666667
somewhere on a beach, dierks bentley, 0, 39, 23, 31.0
what do you mean?, justin bieber, 31, 0, 0, 31.0
one call away, charlie puth, 46, 20, 28, 31.3333333333
the sound of silence, disturbed, 0, 49, 14, 31.5
down in the dm, yo gotti featuring nicki minaj, 0, 32, 0, 32.0
you should be here, cole swindell, 0, 35, 31, 33.0
bang my head, david guetta, 33, 0, 0, 33.0
hands to myself, selena gomez, 29, 18, 53, 33.3333333333
stay, kygo, 30, 0, 39, 34.5
lean on, major lazer, 35, 0, 0, 35.0
with a little help from my friends, laith al, 0, 0, 35, 35.0
came here to forget, blake shelton, 0, 40, 30, 35.0
panda, desiigner, 9, 5, 94, 36.0
roses, the chainsmokers, 18, 26, 64, 36.0
pillowtalk, zayn, 8, 4, 97, 36.3333333333
lost boy, ruth b, 0, 51, 22, 36.5
new romantics, taylor swift, 0, 62, 12, 37.0
think of you, chris young duet with cassadee pope, 0, 41, 34, 37.5
2 phones, kevin gates, 60, 17, 37, 38.0
hide away, daya, 38, 0, 0, 38.0
jumpman, drake, 49, 23, 43, 38.3333333333
adventure of a lifetime, coldplay, 39, 0, 0, 39.0
like i would, zayn, 40, 0, 0, 40.0
low life, future, 45, 29, 46, 40.0
ain't your mama, jennifer lopez, 0, 0, 40, 40.0
when i was your man, daniel passino, 0, 0, 41, 41.0
all my friends, snakehips, 41, 0, 0, 41.0
die a happy man, thomas rhett, 0, 36, 47, 41.5
huntin' fishin' and lovin' every day, luke bryan, 0, 0, 42, 42.0
father stretch my hands pt. 1, kanye west, 50, 37, 0, 43.5
back to sleep, chris brown, 0, 44, 0, 44.0
ophelia, the lumineers, 0, 0, 44, 44.0
you don't own me, grace, 0, 0, 45, 45.0
gold, kiiara, 47, 0, 0, 47.0
lights come on, jason aldean, 0, 43, 51, 47.0
my church, maren morris, 0, 58, 36, 47.0
hotline bling, drake, 44, 50, 0, 47.0
oui, jeremih, 73, 19, 50, 47.3333333333
hello, adele, 42, 25, 75, 47.3333333333
can't feel my face, the weeknd, 48, 0, 0, 48.0
seven spanish angels, adam wakefield, 0, 0, 48, 48.0
let it go, james bay, 79, 38, 27, 48.0
youth, troye sivan, 43, 46, 57, 48.6666666667
ain’t no way, hannah huston, 0, 0, 49, 49.0
don't, bryson tiller, 72, 28, 0, 50.0
t, thomas rhett, 0, 63, 38, 50.5
i hate u i love u, gnash, 51, 0, 0, 51.0
no money, galantis, 52, 0, 0, 52.0
girls like, tinie tempah, 53, 0, 0, 53.0
snapback, old dominion, 0, 52, 54, 53.0
needed me, rihanna, 54, 47, 58, 53.0
the hills, the weeknd, 65, 42, 0, 53.5
try everything, shakira, 0, 75, 33, 54.0
wild things, alessia cara, 37, 60, 68, 55.0
drunk on your love, brett eldredge, 0, 48, 63, 55.5
exchange, bryson tiller, 81, 31, 0, 56.0
cut it, o.t. genasis featuring young dolph, 0, 56, 0, 56.0
i know what you did last summer, shawn mendes, 56, 0, 0, 56.0
how deep is your love, calvin harris, 57, 0, 0, 57.0
hasta el amanecer, nicky jam, 58, 0, 0, 58.0
still crazy after all these years, emily keener, 0, 0, 59, 59.0
raging, kygo, 59, 0, 0, 59.0
that don't sound like you, lee brice, 0, 69, 52, 60.5
pt. 2, kanye west, 67, 54, 0, 60.5
really really, kevin gates, 0, 61, 0, 61.0
if it ain't love, jason derulo, 62, 0, 0, 62.0
where are Ü now, jack Ü, 64, 0, 0, 64.0
summer sixteen, drake, 83, 45, 0, 64.0
america's sweetheart, elle king, 0, 0, 65, 65.0
when we were young, adele, 61, 70, 0, 65.5
cheap thrills, sia, 68, 55, 74, 65.6666666667
flatliner, cole swindell, 0, 0, 66, 66.0
photograph, ed sheeran, 66, 0, 0, 66.0
huntin' fishin' & lovin' every day, luke bryan, 0, 66, 0, 66.0
nobody to blame, chris stapleton, 0, 68, 67, 67.5
team, iggy azalea, 76, 65, 62, 67.6666666667
bitch i operate, mbest11x, 0, 0, 69, 69.0
working for it, zhu, 70, 0, 0, 70.0
waves, kanye west, 69, 71, 0, 70.0
once in a while, timeflies, 71, 0, 0, 71.0
i like the sound of that, rascal flatts, 0, 59, 83, 71.0
piece by piece, kelly clarkson, 0, 72, 70, 71.0
company, justin bieber, 63, 57, 95, 71.6666666667
all i want, caroline burns, 0, 0, 72, 72.0
confession, florida georgia line, 0, 53, 93, 73.0
might not, belly featuring the weeknd, 0, 73, 0, 73.0
be right there, diplo, 74, 0, 0, 74.0
head over boots, jon pardi, 0, 89, 60, 74.5
wasted time, keith urban, 0, 74, 76, 75.0
thinking out loud, ed sheeran, 75, 0, 0, 75.0
best friend, young thug, 0, 76, 0, 76.0
acquainted, the weeknd, 0, 77, 0, 77.0
cheerleader, omi, 77, 0, 0, 77.0
ultralight beam, kanye west, 89, 67, 0, 78.0
little bit of you, chase bryant, 0, 78, 0, 78.0
alive, brian nhira, 0, 0, 78, 78.0
victorious, panic! at the disco, 0, 96, 61, 78.5
fire away, chris stapleton, 0, 0, 79, 79.0
castle, halsey, 0, 0, 80, 80.0
never be like you, flume, 55, 98, 87, 80.0
sugar, maroon 5, 78, 82, 0, 80.0
kiss it better, rihanna, 0, 80, 0, 80.0
picky, joey montana, 80, 0, 0, 80.0
tennessee whiskey, chris stapleton, 0, 90, 71, 80.5
unsteady, x ambassadors, 0, 0, 81, 81.0
all the way up, fat joe & remy ma featuring french montana, 0, 81, 82, 81.5
mind reader, dustin lynch, 0, 79, 84, 81.5
uptown funk, mark ronson, 82, 0, 0, 82.0
promise, kid ink featuring fetty wap, 0, 64, 100, 82.0
ride, twenty one pilots, 0, 87, 77, 82.0
might be, dj luke nasty, 0, 83, 0, 83.0
fml, kanye west, 0, 84, 0, 84.0
borro cassette, maluma, 84, 0, 0, 84.0
jimmy choo, fetty wap, 0, 85, 0, 85.0
running out, matoma, 85, 0, 0, 85.0
church bells, carrie underwood, 0, 0, 85, 85.0
catch & release, matt simons, 86, 0, 0, 86.0
stand by you, rachel platten, 0, 0, 86, 86.0
light it up, major lazer featuring nyla, 0, 86, 0, 86.0
record year, eric church, 0, 100, 73, 86.5
rock bottom, hailee steinfeld, 87, 0, 0, 87.0
body, dreezy featuring jeremih, 0, 88, 0, 88.0
trap queen, fetty wap, 88, 0, 0, 88.0
from the ground up, dan + shay, 0, 0, 88, 88.0
falling, trent harmon, 0, 0, 89, 89.0
gold digger, kanye west, 0, 0, 90, 90.0
locked away, r. city, 90, 0, 0, 90.0
chandelier, sia, 91, 0, 0, 91.0
saved, ty dolla $ign featuring e, 0, 91, 0, 91.0
i’m not the only one, ryan quinn, 0, 0, 91, 91.0
real friends, kanye west, 0, 92, 0, 92.0
peter pan, kelsea ballerini, 0, 0, 92, 92.0
no role modelz, j. cole, 92, 0, 0, 92.0
breathe, seeb, 93, 0, 0, 93.0
see you again (feat. charlie puth), wiz khalifa, 94, 0, 0, 94.0
beautiful drug, zac brown band, 0, 94, 0, 94.0
heartbeat, carrie underwood, 0, 95, 0, 95.0
lay it all on me, rudimental, 95, 0, 0, 95.0
noise, kenny chesney, 0, 93, 98, 95.5
dibs, kelsea ballerini, 0, 0, 96, 96.0
history, one direction, 96, 0, 0, 96.0
want to want me, jason derulo, 97, 0, 0, 97.0
come and see me, partynextdoor featuring drake, 0, 97, 0, 97.0
679, fetty wap, 98, 0, 0, 98.0
feedback, kanye west, 0, 99, 0, 99.0
white iverson, post malone, 99, 0, 0, 99.0
addicted to my ex, m, 0, 0, 99, 99.0
dessert, dawin, 100, 0, 0, 100.0
